frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score,car_color,object_type
7,702.0,[241.38281251100648 469.25403138848964 474.98950242551405 684.8797695842376],[314.6251220703125 608.5050048828125 394.2725830078125 633.0751953125],0.3735309839248657,HA13HRI,0.06855130854258659,white,Car
16,702.0,[226.62147895921487 487.39458873253835 467.0238015561372 705.9097981118947],[304.46356201171875 637.6180419921875 383.08612060546875 662.495849609375],0.4550485610961914,KU13NRV,0.06043582474645106,white,Car
19,705.0,[734.8353950314768 414.2682238143917 947.9534476527738 619.1040058315288],[786.0855102539062 552.6417236328125 870.8152465820312 580.00927734375],0.27526193857192993,LI51VSU,0.1859409704833064,navy,Car
26,702.0,[215.26029414295516 511.33592826717677 460.02985108030435 719.2912186401636],[287.91815185546875 665.6011962890625 374.51220703125 690.4439697265625],0.3527534008026123,MA13NRU,0.36600511875530733,white,Car
32,702.0,[209.80384660833678 525.9777868955291 456.74519228160193 719.1124691214484],[288.1156005859375 679.8984375 366.54931640625 707.336669921875],0.25301918387413025,MA13NRU,0.3587055642034267,white,Car
72,706.0,[351.53862969967184 420.6048620393326 562.7600691891375 587.7765239993253],[398.728759765625 517.0966796875 534.8369140625 553.268310546875],0.2817593216896057,GX15OCJ,0.2691148566730589,white,Car
78,706.0,[345.1498455710043 429.2550363643335 563.1967333955263 599.8366959385661],[386.0751953125 533.070556640625 508.004150390625 568.941650390625],0.3311513364315033,CI15UGJ,0.08622566284133576,white,Car
80,706.0,[342.51671664340853 432.1620985979014 563.4342719335679 603.4183558638997],[404.08447265625 536.478515625 518.390869140625 568.7977294921875],0.4791673421859741,GX15OCJ,0.37417597291355315,white,Car
81,706.0,[340.0422768711369 434.25632944004997 561.836650595536 605.7075106437169],[364.45062255859375 532.1334228515625 513.0557861328125 569.202392578125],0.4335125684738159,LI15OGJ,0.2279307481532057,white,Car
94,706.0,[325.85586969424423 455.8182956042169 561.8793327321657 636.6047484409096],[397.93939208984375 565.299560546875 528.2232055664062 604.536865234375],0.6209779381752014,SX15OCJ,0.09861101577286659,white,Car
113,706.0,[306.6013082226571 496.73476279850814 553.1250230165701 691.9853595898715],[352.5374755859375 604.9833984375 533.0345458984375 660.53662109375],0.3901936709880829,GX15OCJ,0.3866143418069485,white,Car
114,706.0,[303.3553457278094 499.29650171809675 552.0500546897235 695.8027508567305],[341.3519592285156 612.3311767578125 491.5589294433594 656.5286865234375],0.5381667613983154,GX15OCJ,0.38914985996532275,white,Car
